MEZES,,,,,,,,,,
Food,"1-HUMMUS:150 gr.Calori:220,Allergen sussame",,,,,,,,,15 SAR
Content,Chickpeas 100 gr.Tahini 25 gr.Olive oil 15 gr.Lemon juice 8 ml.Garlic 3 gr.Salt 2 gr,,,,,,,,,
Food,"2-MOUTTEBELl (Smoked Eggplant Dip):150 gr.Calori 220,Allergen sussame",,,,,,,,,16 SAR
Content,Grill Eggplant 100 gr.Tahini 20 gr.Yogurt 20 gr.Olive oil 8 gr.Lemon juice 5 gr.Garlic 5 gr.salt 2 gr,,,,,,,,,
Food,"3-AVOCADO MASH ;150 gr.Calori 250,Allergen Free",,,,,,,,,29 SAR
Content,Avocado 130 gr.Olive Oil 10 gr.Lemon juice 8 gr.Salt 2 gr.Black pepper 2 gr.,,,,,,,,,
Food,4-SPINACH BORANI;150 gr.Calori:165 Allergen Milk ,,,,,,,,,15 SAR
Content,Spinach 80 gr.Strained yogurt 60 gr.Garlic 3 gr.Olive Oil 8 gr. Salt 2 gr.onion 30 gr.spices 5 gr.,,,,,,,,,
Food,5-ATOM  (Yoghurt with Hot Butter & Chili):150 grams.Calori 220 Allergen Milk ,,,,,,,,,19  SAR
Content,Strained yogurt 100 grams.Butter 30 grams.dRY Pepper 3 grams.Garlic 3 grams.Salt 2 gr.eggplant 50 grams.tahini5 gr.,,,,,,,,,
Food,"7-SPICY PUREE; 150 gr.Calori 120 ,Allergen Free",,,,,,,,,15 SAR
Content,Tomato 90 gr.Red pepper 25 gr.Onion 15 gr.Maydonoz 10 gr.Pomegranade molasses 5 gr.İsot 2 gr salt 2gr.,,,,,,,,,
Food,"8-MUHAMMARA;150 gr.Calori 310 Allergen Walnut,Gluten",,,,,,,,,24 SAR
Content,"Red bell pepper 800 gr.Walnut 35 gr.Breadcrumbs 20 gr.Olive oil 10 gr.Pomegranade molasses,Garl ",,,,,,,,,
Food,9-SHAKSHOUKA 150 gr.Calori 190 Allergen Egg,,,,,,,,,19 SAR
Content,"Tomato 80 gr.Pepper 40 gr.Onion 25 gr.Egg 1 piece 50 gr.,Olive oil 10 gr.Spice",,,,,,,,,
Food,10-STUFFED VINE LEAVERS:150 gr.Calori 240 Allergen Free,,,,,,,,,20 SAR
Content,"Spinach 60 gr.Rice 50 gr.Onion 20 gr.Olive oil 15 gr.Parsley dill,mint",,,,,,,,,
Food,12-HAYDARI;Strained Yoghurt with Garlic:150 grams.Calori 165 Allergen Milk,,,,,,,,,18 SAR
Content,Strained Yogurt 150 gr.Garlic 3 gr. Olive oil 5 gr.Salt 2 gr,,,,,,,,,
