DESSERTS,,,,,,,,,
Food,1-Carrot Slice Baklava 200 gr.Calori 650/800 Allergen Milk Pistachio ,,,,,,,,35 SAR
Content,"Layered phyllo pastry with pistachios, baked and soaked in syrup",,,,,,,,
Food,2-Pistachio Sarma 120 gr.Calori 450/600 Allergen Milk Pistachio,,,,,,,,38 SAR
Content,Rolled phyllo pastry filled with premium pistachios,,,,,,,,
Food,3-Cold Baklava 150 gr.Calori 500/650 Allergen Milk Pistachio Kakao,,,,,,,,35 SAR
Content,Chocolate-flaored cold mild baklaa with pistachios,,,,,,,,
Food,4-Walnut Baklava :120 gr.Calori 500/700 Alllergen Milk Walnuts,,,,,,,,29 SAR
Content,Traditional baklava filled with walnuts and syruo,,,,,,,,
Food,5-Bird's Nest Baklava:120 gr.Calori 450/600 Allergen Milk walnut,,,,,,,,29 SAR
Content,Crispy shredded phyllo nest filled with pistachios,,,,,,,,
Food,6-oktay chefs walnut turkish baklava,,,,,,,,29 SAR
Content,Traditional baklava filled with walnuts and syruo,,,,,,,,
Food,7--Pistachio Katmer 300gr.Calori :900/1200 Allergen Milk Pistachio,,,,,,,,49 SAR
Content,Thin crispy pastry with pistachio and clotted cream,,,,,,,,
Food,"OVEN RICE PUDING 110 GR.ALLERGEN MİLK,EGG 450 KCAL",,,,,,,,20 SAR
Content,"SÜT 90.EGG 5GR.VANİLİA,2 GR.RİCE 10 GR.SUGAR 15 GR.",,,,,,,,
Food,"9-Künefe170 gr.Calori:650/700 Allergen Milk,Phistachio",,,,,,,,30 SAR
Content,"Hot shredded pastry with melted cheese and syrup, served with pistachio",,,,,,,,
Food,10-Chocolate Souffle 110 gr. Calori 450/600 Allergen Egg Milk Kakao,,,,,,,,25 SAR
Content,Warm chocolate cake with a molten center,,,,,,,,
Food,11-Ice Cream with Kaymak 120 gr.Calori 250/300 Allergen Milk,,,,,,,,25 SAR
Content,CHEFS SPECIAL FRUİTS DESERT ,,,,,,,,30 SAR
Food,"1 Pcs.Pineapple ,100 gr.Sugar ,50 gr. Strawbery ",,,,,,,,
