                     FRESH FRUITS JUICE,,,,,,,,,,,
Drink ,1-PINA COLADA JUICE Pineapple 120 ml. coconut cream 60 ml. ice 1 cup,,,,,,,,,,22 SAR
Content,"ALLERGEN:Milk,Contain Dair, KCAL:320",,,,,,,,,,
Drink,2-FRESH PINEAPPLE JUICE;Fresh pineapple 200 ml. Water 20 ml.,,,,,,,,,,20 SAR
Content,ALLERGEN:None KCAL:160,,,,,,,,,,
Drink,3-FRESH ORANGE JUICE: Fresh orange juice 200 ml. 1 cup ice,,,,,,,,,,18 SAR
Content,ALLERGEN:None KCAL:120,,,,,,,,,,
Drink,4-POMAGRANATE JUICE,,,,,,,,,,22 SAR
Content,ALLERGEN NONE KCAL 150 ,,,,,,,,,,
Drink,5-ORANGE&POMEGRANATE JUICE,,,,,,,,,,16 SAR
Content,ALLERGEN NONE KCAL 130,,,,,,,,,,
Drink,6-ORANGE&CARROT  JUICE,,,,,,,,,,20 SAR
Content,ALLERGEN NONE KCAL 110,,,,,,,,,,
Content,"7-FRESH LIMONADEN MİNT:lemon juice 50 ml.water,150 ml,50 gr. sugar,leave fresh mint",,,,,,,,,,19 SAR
Content,ALLERGEN FREE KCAL 110,,,,,,,,,,
Drink,8-GREEN APPLE :Green Apple juice,,,,,,,,,,24 SAR
Content,ALLERGEN FREE KCAL 110,,,,,,,,,,
Drink,9-CARROT JUICE:Fresh Carrot Juice 200 ml.Cold Water 50 ml.Lemon juice 5 ml.Ice Full glass.,,,,,,,,,,11 SAR
Content,ALLERGEN;None Kcal:90,,,,,,,,,,
Drink,1-GLASS WATER,,,,,,,,,,4 SAR
Drink,2-PEPSI:,,,,,,,,,,5 SAR
Drink,3-PEPSI LIGHT:,,,,,,,,,,5  SAR
Drink,4-PEPSI ZERO SUGAR:,,,,,,,,,,5 SAR
Drink,5-SEVEN UP:,,,,,,,,,,5 SAR
Drink,6-MIRANDA:,,,,,,,,,,5 SAR
Drink,7-COCA COLA:,,,,,,,,,,5 SAR
Drink,8-SMALL BOTTLE WATER :250 ML.,,,,,,,,,,2 SAR
Drink,9-SPARKLING WATER 200 :ML.,,,,,,,,,,7 SAR
Drink,10-BIG BOTTLE WATER 1LT.,,,,,,,,,,6 SAR
Drink,11-COCA COLA:,,,,,,,,,,5 SAR
Drink,120SODA:,,,,,,,,,,5 SAR
Drink,13-TRADITIONAL TURKHISH AYRAN :Yogurt 200 ml.water 100 ml. leave fresh nane.salt 2 gr ,,,,,,,,,,5 SAR
