Hot Appetizers,,,,,,,,,,
Food,"1-STUFFED DRIED EGGPLANT: 100 gr.Calori::420 Allergen;Gluten,Milk,",,,,,,,,,20 SAR
Content,"Dried Eggplant 80 gr.,Rice 50 gr.Bulgur 20 gr.beef meat 40 gr.Onion 30 gr.Tomato paste 15 gr.red sweet pepper paste 10 gr.Olive oil 20 ml.spice 5 gr.salt 3 gr.garlic 5 gr.",,,,,,,,,
Food,"2-FRIED BULGUR MEATBALLS:60 grams.Calori 280 Allergen,gluten,Egg,Milk,Soybean",,,,,,,,,16 SAR
Content,"Thin Bulgur 45 gr.Flour 10 gr.Semolina15 gr.Beef Meat,Onion 35 gr.Walnut 15 gr.Butter 10 gr.Spice 10 gr.Fried oil",,,,,,,,,
Food,3-FRENCH FRIES ;220 gr. Calori 560 Allergen free,,,,,,,,,20 SAR
Content,Patato 220 gr.fried oil salt 4 gr.,,,,,,,,,
Food,4-ANTEP LAHMACUN ;180 gr.Calori 470 Allergen Gluten,,,,,,,,,25 SAR
Content,"Lahmacun Hamuru 120 gr.Lamb meat 70 gr.Tomato 20 gr.Onion 20 gr.Maydonoz 10 gr.Tomato paste 10 gr,spice 5 grGarlıc 5 gr",,,,,,,,,
Food,"5-With KHASAR CHEESE Pide:300 gr.Calori ;820 AllergenGluten Milk,Laktoz",,,,,,,,,25 SAR
Content,Pide Hamuru;180 gr.Kashar cheese 150 gr.Butter,,,,,,,,,
Food,"6-CUBE MEAT PIDE;330 gr.Calori 760 Allergen Guluten,Milk",,,,,,,,,35 SAR
Content,Pide Hamuru :180 gr.Beef meat:140 gr.Tomato 30 gr.Green Pepper 20 gr.Onion 25 gr.Butter:15 gr.Spice 8 gr.,,,,,,,,,
