KEBABS,,,,,,,,,,
Food,1-ADANA KEBAB 200 gr.Callori:520 ALLERGEN FREE,,,,,,,,,47 SAR
Content,"Kebab meat 200 gr.hot red pepper 5 gr. lamb oil 40 gr.sweet fresh red pepper 20 gr. salt 4 gr.with grill tomato.green pepper ,bulgur rice.",,,,,,,,,
Food,2-URFA KEBAB 200 gr.Calori 520 Allergen Free,,,,,,,,,47 SAR
Content,"Kebab meat 200 gr.sweet red pepper 4 gr..Fresh sweet Red Pepper 20 gr.salt 4 gr.with Grill tomato, green pepper.bulgur rice.",,,,,,,,,
Food,"3-BEYTİ WRAP 250 gr. Callori 600 Allergen:MİLK ,GLUTEN",,,,,,,,,53 SAR
Content,"Kebab with garlic 250 gr.spice red pepper 4 gr.Yogurt 100 gr.Tomato sauce 40 gr.Butter 20 gr. Salt 4 gr.with Grill tomato,green pepper Lavash bread 150 gr.",,,,,,,,,
Food,4-PISTACHIO KEBAB 250 gr. Calori :580 Allergen Pistachio.,,,,,,,,,55 SAR
Content,"250 gr.without spice kebab meats,Pistachio 50 gr.Lamb oil 50 gr salt 4 gr.grill tomato green pepper rice .Lavash bread 150 gr.",,,,,,,,,
Food,5-GALATA CHEF'S KEBAB :250 gr. Calories 650 Allergen MILK,,,,,,,,, 64 SAR
Content,"Lamb and Beef meat mix 250 gr.sweet green and  Khasar 10 gr.red peppers.50 gr.salt 4 gr.butter 20 gr.with Grill tomato,green pepper.",,,,,,,,,
Food,6-BEEF KEBAB 250 gr.Callori 550 Allergen:FREE,,,,,,,,,58  SAR
Content,Beef Meat 250 gr.beef oil 50 gr. salt 4 gr.with grill tomato.green pepper.,,,,,,,,,
Food,7-CHICKEN KEBAB 200 gr.Callori 420 Allergen FREE,,,,,,,,,44 SAR
Content,"chicken KEBAB 200 GR.Lamb oil.50 gr.salt 3 gr. with grill tomato ,green papper.bulgur rice.",,,,,,,,,
Food,8-KUŞLEME KEBAB (Lamb Tenderloin Kebab) 220 gr.Calori:650 Allergen Free,,,,,,,,,80 SAR
Content,"Lamb bonfile 220 gr. olive oil 20 ml. salt 4 gr.with grill tomato, green pepper.",,,,,,,,,
Food,9-ALİ NAZİK KEBAB 250 gr.Calori :850 Allergen MILK,,,,,,,,,63 SAR
Content,Kebab meat 250 gr.grill egplant 100 gr.garlic  5 gr.salt 4 gr.yogurt 100 gr.grill tomato and green pepper,,,,,,,,,
Food,10-WHOLE CHICKEN 600 gr. Calori 1050 Allergen MILK,,,,,,,,,59 SAR
Content,"Chicken 600 gr.spice 5 gr. salt 4 gr. Butter 20 gr. with green peper,tomatto,rice.",,,,,,,,,
Food,11-HALF CHICKEN 350 gr. Calori 600 Allergen MILK,,,,,,,,,32 SAR
Content,"Half Chicken 350 gr. spice 3 gr. salt 3 gr. Butter 10 gr. rice 100 gr.with green pepper,Tomatto.rice.",,,,,,,,,
Food,12-PIPE KEBAB 1200 gr. Calori 2480 Allergen Milk,,,,,,,,,276 SAR
Content,"special meat mix 1200 gr.vegatable 200 gr. salt 15 gr. sweet spice 10gr. butter 50 gr.with green pepper,Tomatto",,,,,,,,,
Food,13-METER KEBAB 1 meter :Calori 2200 Alergen :Gluten,,,,,,,,, 229 SAR
Content,"Special kebeb meat 850 gr.Lamb oil 150 gr. .Sweet red pepper 50 gr. salt 10 gr.with green pepper,Tomatto",,,,,,,,,
Food,14-CHICKEN SHISH 250 gr.Calori 490 Allergen milk,,,,,,,,,45 SAR
Content,"chicken meat 250 gr.special sauce 50 ml. salt 4 gr. grill tomato and green pepper 50 gr.with green pepper,Tomatto bulgur rice",,,,,,,,,
Food,15-CHICKEN WING 250 gr.Callori 720 Allergen milk,,,,,,,,,45  SAR
Content,"Chicken wins 250 gr. salt 4 gr.special sauce 30 gr. tomato pure 10 gr.with green pepper,Tomatto.bulgur rice",,,,,,,,,
