MEATS,,,,,,,,,,
Food,1-LAMB CHOPS 250 gr.Calori 720 Allergen Milk,,,,,,,,,85  SAR
Content,"Lamb chops 250 gr.olive oil 10 gr. salt 3 gr.black pepper 2 gr.thyme 2 gr.butter 5 gr.with tomatto,green pepper bulgur rise",,,,,,,,,
Food,2-LAMB TANDERLOIN (LOKUM İSTANBUL)350 gr. Calori;560 Allergen Free,,,,,,,,,120 SAR
Content,"Lamb tenderloin .salt 10 gr black pepper 2 gr.Rosemary 2 gr.with tomatto,green pepper",,,,,,,,,
Food,3-LAMB SHISH 250 gr.Calori 610 gr.Allergen free,,,,,,,,,80 SAR
Content,"Lamb shish 250 gr.green pepper 40 gr.onion 20 gr.Marinasion olive oiles.with tomatto,green pepper",,,,,,,,,
Food,4-LAMB RIBS 400 gr Calori 980 Allergen free,,,,,,,,,70 SAR
Content,"Lamb ribs  450 gr.salt 5 gr.olive oil 10 ml. Rosemary 2 gr. thyme 2 gr.with tomatto,green pepper",,,,,,,,,
Food,5-LAMB LIVERr 250 gr. Calori 430 Allergen milk,,,,,,,,,50 SAR
Content,"Lamb liver 200 gr. onion 30 gr.butter 10 gr. salt 4 gr.with tomatto,green pepper",,,,,,,,,
Food,6-LAMB RACK 350 gr.Calori 890 gr.Allergen ;Milk,,,,,,,,,189 SAR
Content,"Lamb rack 320 gr.butter 10 gr.garlic 5 gr. rosemary 2 gr. salt 3 gr. black pepper 2 gr.with tomatto,green pepper",,,,,,,,,
Food,7-LAMB CROWN (TAÇ)Crown with Butter 600 gr. Calori 1180 Allergen Milk,,,,,,,,,169 SAR
Content,"Lamb crown 350 gr. butter 30 gr.garlic 3 gr. salt 3 gr. rosemary 2 gr.with tomatto,green pepper",,,,,,,,,
Food,"8-MIXED GRILL 400 gr.Calori 1350 Allergen milk,gluten,",,,,,,,,,120  SAR
Content,"Meat ball khasar80 gr.lamb shish 80 gr.lamb chops 120 gr.Yağlı Kara 120 gr. 80 gr.with tomatto,green pepper,Bulgur rise",,,,,,,,,
Food,9-BEEF SAUTE 250 gr.Calori 360 Allergen Milk,,,,,,,,,65 SAR
Content,"Beef meat 150 gr.green pepper 60 gr.tomatto 50 gr.onion 40 gr.butter 10 gr.salt 4 gr.with tomatto,green pepper",,,,,,,,,
Food,,,,,,,,,,
Content,,,,,,,,,,
