SALADS,,,,,,,,,,
Food,1-CHEESE SALAD: KCAL:170 ALLERGEN FREE,,,,,,,,,19 SAR             
Content,"Special cheese,15 gr.ıceberg 50 gr.tomato 60 gr.cucumber 50 gr.red onion 15 gr.persley 5 gr.olive oil 15 gr.lemon juice 5 ml.salt 2 gr.",,,,,,,,,
Food,2-BURRETA SALAD: 300 gr.Calori 480 Allergen:Milk,,,,,,,,,45 SAR
Content,"Burreta cheese 100 gr.,tomatto 150 gr.Roka 40 gr.Pesto 15 gr. olive oil 15 ml. balsamic glaze 5 gr.",,,,,,,,,
Food,3-TABOULEH SALAD:250 gr.Calori 270 Allergen ;gluten,,,,,,,,,15 SAR
Content,"thin bulgur 80 gr,maydonoze 80 gr.,tomatto 60 gr.fresh mint 20 gr.lemon juice 20 gr,olive oil 20 gr.onion 10 gr.",,,,,,,,,
Food,"CEASER SALAD:(Chicken  or Shrimp) 350 gr.Calori 610 Allergen Gluten,Milk,Egg,Ançuez,Hardal",,,,,,,,,39 SAR//39 SAR
Content,"Romanie Marul 120 gr,Grill chicken 120 gr.Permasan cheese 30 gr.kruton 40 gr.ceasar sauce 40 gr.",,,,,,,,,
Food,"GAVURDAGI SALAD:300 gr.Calori 330 ,Allergen Walnut",,,,,,,,,29 SAR
Content,Tomatto 160 gr.onion 50 gr. walnut 40 gr.Maydonoz 30 gr.Olive oil 20 ml.Pomegranate molasses,,,,,,,,,
Food,"6-ICEBERG Lettuce Salad;ALLERGEN FREE,KCAL:165",,,,,,,,,19 SAR
Content,"iiceberg lettuce 150 gr.cherrry tomato,cucumber 40 gr.red onion 15 gr.fresh parsley 5 gr.olive oil 15 ml.lemon juice 15 gr.pomagranate mollases 5 ml,salt 2 gr",,,,,,,,,
Food,7-QUINOA SALAD: 280 gr.Calori 360 Allergen free,,,,,,,,,34 SAR
Content,"Boild quinoa 120 gr,Avocada 50 gr.cucumber 40 gr.tomatto 30 gr.Roka 20 gr.Olive oil 20 gr. lemon juice 20 gr. ",,,,,,,,,
Food,8-SHEPHER'S SALAD 280 gr.Calori 180 Allergen Free,,,,,,,,,22 SAR
Content,tomatto 129 gr. Cucumber 80 gr.green pepper 40 gr.onion 20 gr.maydonoz 20 gr.olive oil 20 ml.lemon juice 10 ml,,,,,,,,,
Food,9-FATTOUSH SALAD,,,,,,,,,19 SAR
Content,"tomato 80 gr,cucumber 60 gr,luttece 50 gr,radish 20 gr,green onion 10 gr,fresh parsley,fresh mint 5 gr,crispy pita bread,olive oil 15 gr,fresh lemon juice 15 gr,pomagranade molasses,sumac 2 gr garlıc 2 gr",,,,,,,,,
