٠٠,,,,,,,,,,
Food, 1-BEEF CARPACCIO120 gr.Callori 220 Allergen Milk and egg,,,,,,,,,79 SAR
Content,Beef Fillet 120 gr.Roka 19 gr.Permesan cheese 3 gr.Capari 10 gr.olive oil 10 ml.lemon juice 10 ml.sea salt 2 grams.black pepper 1 gr. balsamic 5 ml.mustard,,,,,,,,,
Food,2-STEAK TARTAR:200 gr.Calori :320 Allergen milk egg,,,,,,,,,72 SAR
Content,Beef fillet 150 gr.onion 15 gr.pickles 15 gr.capari 15 gr.dijon mustard 10 gr.olive oil 10 ml.egg yellows salt 2gr.black pepper 1 gr.frenk onions 5 gr.,,,,,,,,,
Food,"3-LENTİL SOUP 300 ml. Calori 200 Allerjen;Gluten,milk.",,,,,,,,,19 SAR
Content,"red lentils,onion,carrot,patato,flour,butter,vegetable oil,salt,black pepper,water",,,,,,,,,
Content,"4-YUVALAMA SOUP:Allergen milk,gluten 330 kcal",,,,,,,,,25 SAR
Content,NOHUT 20 GR.KUZU ETİ 20 GR.PİRİNÇ UNU 10 GR.SPICE 4 GR. BUTTER 10 GR.,,,,,,,,,
Content,5-KELLE PAÇA ( HEAD-TROTTERS )SOUP Allergen:milk kcal 325,,,,,,,,,30 SAR
Content,50 GR head-50 gr trotters spıces ,,,,,,,,,
Food,6-TURKISH PICKLES 200GR.KCAL 35 ,,,,,,,,,15 SAR
