STEAKS,,,,,,,,,,
Food,                    1-PORTEHOUSE STEAK :        700 gr       CaloriI:1650       Allergen:free,,,,,,,,,266 SAR
Content,"Porterhouse steak, 700 gr.(Dry aged) salt 5 gr.,black paper 2 gr.,olive oil 10 ml..grill tomato 60 grams,with baked patatos 150 grams.,spinach 80 gr",,,,,,,,,
Food,2-FLORENTINA STEAK:1000 gr.Calori 2300 Allergen free,,,,,,,,,380 SAR.                    
Content,Florentine steak 1000gr. sea salt 8 gr. black peper 3 gr.olive oil 15 ml.grill vagetabels 200 gr.with baked patato 150 gr.butter with garlic 25 gr.spinach 80. gr,,,,,,,,,
Food,     3-T-BÖNE STEAK :500 gr            Calori :1150.      Allergen free,,,,,,,,,190 SAR
Content,T- Bone steak 500 gr sea salt 5 gr. black peper 2 gr olive oil 10 ml.grill munsroom 70 gr. with baked patato.spinach 80 gr.,,,,,,,,,
Food,4-NEW YORK STEAK: 350 gr.    Calori:850 Allergen free,,,,,,,,,159 SAR
Content,striploin :350 gr.sea salt 4 gr black peper 2 gr olive oil:8 ml.with baked patato:150 gr.spinach 80 gr,,,,,,,,,
Food,5-RIBEYE STEAK:400 gr.Calori 1150 Allergen free,,,,,,,,,135 SAR
Content,Ribeye steak 400 gr.sea salt 4 gr. black paper 2 gr.with baked patato 150 gr.spinach 80 gr,,,,,,,,,
Food,6-ENTRECOTE: 250 gr.Calori 700 Allergen free,,,,,,,,,91 SAR
Content,Entrecote 250 gr. sea salt 4 gr.black paper 2 gr.with baked patato 150 gr.spinach 80 gr.,,,,,,,,,
Food,7-DALLAS STEAK: 500 gr.Calori1750 Allergen free,,,,,,,,,190 SAR
Content,Dallas steak 500 gr. sea salt 6 gr.black pepper 2 gr.with baked Patato 180 gr.spinach 80 gr.,,,,,,,,,
Food,8-TOMAHAWK STEAK: 900 gr.Calori :2100 Allergen free,,,,,,,,,315 SAR
Content,tomahawk 900 gr. sea salt 8 gr. black paper 3 gr. with baked patato 150 gr.spinach 80 gr,,,,,,,,,
Food,9-LOKUM STEAK: 220 gr.Calori.500 Alergen free,,,,,,,,,149 SAR
Content,Beef Tenderloin 220 gr. sea salt 3 gr. black paper 1 gr.with baby patato :150 gr. spinach 80 gr.,,,,,,,,,
Food,10-FİLET MİGNON: 250 gr. Calori  420 Allergen free,,,,,,,,,165 SAR
Content,Dana Bonfile250 gr.sea salt 4 gr. black pepper 2 gr.with baked Patato 180 gr. spinach 80 gr.,,,,,,,,,
Food,11-BEEF SHASLIK: 220 gr. Calori:650  Allergen milk.gluten,,,,,,,,,145 SAR
Content,Beef fillet 220 gr. Onion 40 gr. sweet red pepper 30 gr.green pepper 30 gr.olive oil 15 ml garlic 5 gr.salt 3 gr.with baked patato.spinach,,,,,,,,,
Food,12-CHATEAUBRİAND (2 Personly)400 gr.Calori 650 Allergen free.,,,,,,,,,189 SAR
Content,"Beef fillet:400 gr.salt 3 gr. black pepper 3 gr.Butter 30 gr.bread ,cherry tomato,roka 15 gr",,,,,,,,,
Food,13 -CHATEAUBRİAND (4 Personly)800 gr.Calori 1300 Allergen free.,,,,,,,,,378 SAR
Content,"Beef fillet:800 gr.salt 3 gr. black pepper 3 gr.Butter 30 gr.bread ,cherry tomato,roka 15 gr",,,,,,,,,
\,14-ASSADO / Asado (for 2 persons) 600 gr.Calori 925 Allergen free,,,,,,,,, 220 SAR                            
Content,2 PERSON 800 GR.800 GR.4  SALT OLİVE OİL SPİCE ONİON ROKA,,,,,,,,,
Food,15-ASSADO / Asado (for 4 persons) 1200 gr.Calori 1850 Allergen free,,,,,,,,,430 SAR
Content,4 PERSON 800 GR.3 GR.SALT 15 GR OLİVE OİL 5 GR.SPİCE 20 GR.ONİON 15 GR ROKA,,,,,,,,,
Food,                                                                 16-BEEF SPAGEHETTI : 200 GR:KCAL:310 Allergen Free,,,,,,,,,145 SAR
Content,"                                                        200g beef fille:,sea salt 5 gr.spices 4 gr.olive oil 20 gr.baby patato 80 gr.spinach 80 gr.",,,,,,,,,
Food,,,,,,,,,,
Content,,,,,,,,,,
Food,,,,,,,,,,
